mint,symbol,tier,alert_ts,entry_price,entry_mcap,entry_liq,entry_score,gate_results_json,rugcheck_score,price_1h,mcap_1h,ret_1h,price_6h,mcap_6h,ret_6h,price_24h,mcap_24h,ret_24h,price_7d,mcap_7d,ret_7d,max_ret_seen,min_ret_seen,rugged_after,status,tp_alerted,stop_alerted
BDbNwA95183CdqUhx2P6R3fWXbefubVbx2wNnCp6pump,FROGBULL,,1783042783.8092139,0.000955,914392.0,82223.77,64.7,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,0.0006971,667439.0,-0.27005235602094246,0.0006971,667439.0,-0.27005235602094246,0.0006971,667439.0,-0.27005235602094246,,,,0.0,-0.6454450261780105,False,open,,True
F7bFfkHxLuXuuoeX3SQDM9PDhBABVEVFmter8nnRpump,shitcoin,,1783042783.8092139,3.049e-05,30495.0,13401.42,62.9,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,8.095e-05,80958.0,1.6549688422433584,8.095e-05,80958.0,1.6549688422433584,8.095e-05,80958.0,1.6549688422433584,,,,3.283371597244998,-0.6123319121023286,False,open,2.0,True
AVw5JG15f4rUVqGm9ogkt46z3hqFrc2A9w3fXSSfpump,C4,,1783042783.8092139,1.892e-05,18923.0,10472.27,58.9,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",49.0,2.858e-05,28589.0,0.510570824524313,2.858e-05,28589.0,0.510570824524313,2.858e-05,28589.0,0.510570824524313,,,,0.5681818181818183,-0.8304968287526426,False,open,,True
4Q1nYg8tNm3pdioSNyF2gkHjHqJaqzCT6udubCPspump,bANSEM,,1783042783.8092139,1.928e-05,19280.0,10602.89,52.5,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,2.864e-06,2864.0,-0.8514522821576763,2.864e-06,2864.0,-0.8514522821576763,2.864e-06,2864.0,-0.8514522821576763,,,,0.0,-0.8775414937759336,False,open,,True
SPCXwBHVrKpRqMRawL3NNvt1sXP2Yf3edwRbta53N69,SPCX69,,1783042783.8092139,0.004637,4637874.0,246256.13,51.8,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,0.004398,4398821.0,-0.051541945223204544,0.004398,4398821.0,-0.051541945223204544,0.004398,4398821.0,-0.051541945223204544,,,,0.0,-0.4410178995039896,False,open,,
HS4DWjgJ2h51PCnhh95saqgLQ21Zps6VABK1vi9gpump,LojakPaul,,1783042948.784281,0.001766,1766336.0,118630.39,70.6,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,2.222e-05,22229.0,-0.9874178935447339,2.222e-05,22229.0,-0.9874178935447339,2.222e-05,22229.0,-0.9874178935447339,,,,0.0,-0.9949167610419026,False,open,,True
ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,,1783042948.784281,0.0002038,203878.0,44066.11,55.2,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,0.0001356,135604.0,-0.33464180569185475,0.0001356,135604.0,-0.33464180569185475,0.0001356,135604.0,-0.33464180569185475,,,,0.0,-0.5276741903827281,False,open,,True
86WQZC9cW2YQyVcTjpNGqq56YN87TwP8bhm3NnrVpump,Firework,,1783043486.2615998,2.038e-05,20383.0,11152.36,60.0,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",45.0,7.964e-06,7964.0,-0.609224730127576,7.964e-06,7964.0,-0.609224730127576,7.964e-06,7964.0,-0.609224730127576,,,,0.0,-0.8998037291462218,False,open,,True
ERBATen21ug99H7p2C21fCim9TQpBBM79QT9VX4Jpump,GM,,1783043486.2615998,8.341e-05,83410.0,22153.07,58.2,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,2.239e-06,2239.0,-0.9731566958398273,2.239e-06,2239.0,-0.9731566958398273,2.239e-06,2239.0,-0.9731566958398273,,,,0.0,-0.9762738280781681,False,open,,True
4EKJBc4WdeCViLRCfRx5ieFHfPFuBYhV49527GUBpump,womanlet,B,1783181771.8922539,0.0001451,145146.0,30428.48,71.8,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""insider_net_ok"": true, ""graph_insiders_ok"": true, ""creator_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,6.629e-05,66297.0,-0.5431426602343211,3.834e-05,38343.0,-0.7357684355616816,2.631e-05,26291.0,-0.8186767746381806,,,,0.0,-0.9108201240523777,False,open,,
96X4zg5T4NFWzTVFXHsadvYbxbzFX2Rqt3GXUv92pump,Balloon,B,1783181771.8922539,4.601e-05,46015.0,17851.33,62.0,"{""has_safety"": true, ""mint_revoked"": true, ""freeze_revoked"": true, ""lp_locked"": true, ""not_rugged"": true, ""liq_ok"": true, ""vol_ok"": true, ""top10_ok"": true, ""insider_ok"": true, ""insider_net_ok"": true, ""graph_insiders_ok"": true, ""creator_ok"": true, ""dev_ok"": true, ""risk_ok"": true, ""no_danger_risk"": true, ""danger_hits"": []}",1.0,4.232e-05,42323.0,-0.08019995653118883,5.644e-05,56446.0,0.22668985003260156,5.256e-05,52558.0,0.14236035644425127,,,,13.166485546620299,-0.08019995653118883,False,open,,
